0,"(511, 501)","(499, 510)",15.606601536273956
1,"(508, 489)","(511, 492)",3.535533845424652
2,"(509, 484)","(508, 485)",0.7071067690849304
3,"(399, 479)","(399, 486)",7.328427076339722
4,"(357, 478)","(359, 486)",8.328427076339722
6,"(359, 465)","(356, 474)",9.742640614509583
7,"(503, 414)","(507, 420)",6.949747383594513
8,"(175, 413)","(173, 418)",5.328427076339722
9,"(474, 411)","(442, 508)",110.92640614509583
10,"(476, 410)","(500, 412)",25.778174459934235
11,"(172, 405)","(175, 409)",4.535533845424652
12,"(469, 399)","(474, 407)",9.571067690849304
13,"(465, 398)","(426, 429)",54.64823168516159
14,"(193, 398)","(178, 411)",22.020815074443817
15,"(511, 397)","(503, 410)",15.606601536273956
16,"(216, 365)","(206, 382)",21.813708305358887
17,"(483, 342)","(467, 395)",59.50609630346298
18,"(486, 340)","(509, 376)",52.67766922712326
19,"(408, 339)","(362, 463)",155.58326029777527
20,"(403, 338)","(356, 459)",157.52438521385193
21,"(484, 335)","(484, 338)",2.5
22,"(437, 331)","(482, 332)",45.53553384542465
23,"(491, 301)","(485, 331)",31.985281229019165
24,"(417, 295)","(407, 335)",43.64213538169861
25,"(454, 286)","(453, 287)",74.37005722522736
26,"(413, 279)","(418, 291)",13.363960921764374
27,"(511, 272)","(493, 299)",39.81370830535889
28,"(404, 270)","(411, 276)",9.571067690849304
29,"(422, 262)","(415, 275)",15.399494767189026
30,"(487, 245)","(489, 296)",52.985281229019165
31,"(511, 219)","(485, 228)",31.606601536273956
32,"(438, 121)","(312, 338)",275.134556889534
33,"(494, 109)","(419, 222)",145.90916121006012
