5,2,[356 476],[354 476]
2,5.242640615,[509 484],[508 488]
21,7,[484 333],[484 340]
3,7.828427076,[399 479],[399 486]
1,8.071067691,[506 488],[511 492]
8,8.242640615,[176 411],[173 418]
11,8.656854153,[172 405],[176 412]
7,11.07106769,[501 412],[507 420]
4,11.24264061,[356 476],[359 486]
28,12.48528123,[404 270],[413 277]
6,15.65685415,[361 463],[356 476]
12,15.89949477,[466 397],[474 409]
0,16.31370831,[511 501],[499 510]
26,18.07106769,[413 277],[418 293]
15,19.72792184,[511 397],[501 412]
29,19.72792184,[422 262],[413 278]
16,22.31370831,[216 365],[206 382]
14,24.72792184,[193 398],[176 411]
10,32.31370831,[474 409],[503 413]
31,32.31370831,[511 219],[485 228]
23,36.89949477,[491 299],[484 333]
27,42.31370831,[511 272],[491 299]
22,48.65685415,[437 331],[484 333]
24,49.55634892,[419 293],[407 337]
18,55.384776,[484 340],[509 376]
30,55.48528123,[487 245],[489 298]
13,57.76955199,[467 397],[426 429]
17,64.21320307,[483 340],[467 397]
9,113.4264061,[474 409],[442 508]
33,146.4091612,[494 109],[419 222]
25,153.7401145,[489 298],[489 298]
19,162.9116874,[406 337],[359 464]
32,275.6345569,[438 121],[312 338]
20,320.8771975,[407 337],[407 337]
