0,"(507, 487)"
1,"(356, 476)"
2,"(360, 463)"
3,"(502, 412)"
4,"(176, 411)"
5,"(474, 409)"
6,"(467, 397)"
7,"(484, 340)"
8,"(407, 337)"
9,"(484, 333)"
10,"(491, 299)"
11,"(489, 298)"
12,"(418, 293)"
13,"(413, 277)"
